Date,Year,District,Rape,Rape_Time,Kidnapping and Abduction,Kidnapping and Abduction_Time,Dowry Deaths,Dowry Deaths_Time,Assault on women with intent to outrage her modesty,Assault on women with intent to outrage her modesty_Time,Insult to modesty of Women,Insult to modesty of Women_Time,Cruelty by Husband or his Relatives,Cruelty by Husband or his Relatives_Time,Importation of Girls,Importation of Girls_Time,Attempt to commit Rape,Attempt to commit Rape_Time,Literacy_Rate,Unemployment_Rate,Avg_Income,Latitude,Longitude,Police_Stations,Hospitals,Schools,Area,TotalCrimes
26-12-2014,2014,Central,41,05:30,104,23:27,2,07:45,66,00:02,21,11:17,45,20:54,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,279
19-03-2004,2004,Central,85,00:35,188,21:57,4,07:43,256,01:16,71,20:25,110,22:23,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
19-02-2004,2004,Central,48,02:42,49,18:40,2,14:28,114,19:10,27,15:05,48,19:12,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,288
02-09-2010,2010,Central,85,02:35,188,19:05,4,12:14,256,02:06,71,19:53,110,21:02,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
08-12-2006,2006,Central,63,23:37,44,20:58,1,15:21,169,02:09,13,09:18,48,22:06,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,338
04-04-2024,2024,Central,85,00:39,188,21:23,4,12:25,256,01:23,71,15:39,110,18:03,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
27-04-2019,2019,Central,39,03:37,91,20:42,2,09:10,148,18:31,21,15:49,46,22:22,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,347
17-12-2007,2007,Central,85,21:27,188,18:27,4,15:48,256,02:15,71,09:05,110,21:57,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
24-02-2009,2009,Central,85,23:18,188,22:39,4,21:14,256,00:39,71,11:04,110,18:49,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
30-09-2015,2015,Central,71,20:06,52,19:19,2,23:37,100,22:00,23,14:38,48,23:19,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,296
05-07-2019,2019,Central,85,00:24,188,20:57,4,08:55,256,20:27,71,09:15,110,22:26,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
29-05-2008,2008,Central,85,20:00,188,19:41,4,11:17,256,22:09,71,14:34,110,21:18,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
16-02-2020,2020,Central,85,22:30,188,18:27,4,15:36,256,01:06,71,17:21,110,22:48,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
02-11-2012,2012,Central,33,21:36,47,18:35,1,13:49,135,19:32,15,12:55,49,23:39,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,280
19-04-2007,2007,Central,85,00:52,188,22:04,4,23:30,256,02:57,71,10:50,110,21:40,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
21-03-2009,2009,Central,50,23:23,111,18:48,2,12:13,80,22:55,13,18:47,48,22:30,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,304
19-01-2023,2023,Central,42,05:07,87,23:56,1,18:24,120,00:03,25,15:00,45,23:43,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,320
07-03-2009,2009,Central,85,04:50,188,23:04,4,13:51,256,22:05,71,19:48,110,23:06,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
24-01-2017,2017,Central,85,23:13,188,22:31,4,13:01,256,23:28,71,14:31,110,21:55,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
07-03-2019,2019,Central,30,20:52,53,20:23,2,19:07,161,02:45,14,10:46,48,21:08,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,308
24-01-2018,2018,Central,85,20:38,188,18:59,4,16:23,256,00:12,71,15:58,110,23:52,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
29-07-2009,2009,Central,85,04:04,188,18:55,4,21:13,256,01:13,71,14:11,110,20:59,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
16-11-2016,2016,Central,85,04:30,188,20:56,4,21:29,256,22:08,71,13:26,110,20:08,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,714
13-02-2019,2019,Central,40,05:37,44,21:45,1,18:00,60,21:10,18,09:56,49,20:44,0,NA,0,NA,89.2,5.7,250000,28.6519,77.2315,12,8,279,250,212
