Date,Year,District,Rape,Rape_Time,Kidnapping and Abduction,Kidnapping and Abduction_Time,Dowry Deaths,Dowry Deaths_Time,Assault on women with intent to outrage her modesty,Assault on women with intent to outrage her modesty_Time,Insult to modesty of Women,Insult to modesty of Women_Time,Cruelty by Husband or his Relatives,Cruelty by Husband or his Relatives_Time,Importation of Girls,Importation of Girls_Time,Attempt to commit Rape,Attempt to commit Rape_Time,Literacy_Rate,Unemployment_Rate,Avg_Income,Latitude,Longitude,Police_Stations,Hospitals,Schools,Area,TotalCrimes,DayOfWeek,Month,IsWeekend
2014-12-26,2014,Central,41,330.0,104,1407,2,465.0,66,2,21,677.0,45,1254.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,279,4,12,0
2004-03-19,2004,Central,85,35.0,188,1317,4,463.0,256,76,71,1225.0,110,1343.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,4,3,0
2004-02-19,2004,Central,48,162.0,49,1120,2,868.0,114,1150,27,905.0,48,1152.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,288,3,2,0
2010-09-02,2010,Central,85,155.0,188,1145,4,734.0,256,126,71,1193.0,110,1262.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,3,9,0
2006-12-08,2006,Central,63,1417.0,44,1258,1,921.0,169,129,13,558.0,48,1326.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,338,4,12,0
2024-04-04,2024,Central,85,39.0,188,1283,4,745.0,256,83,71,939.0,110,1083.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,3,4,0
2019-04-27,2019,Central,39,217.0,91,1242,2,550.0,148,1111,21,949.0,46,1342.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,347,5,4,1
2007-12-17,2007,Central,85,1287.0,188,1107,4,948.0,256,135,71,545.0,110,1317.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,0,12,0
2009-02-24,2009,Central,85,1398.0,188,1359,4,1274.0,256,39,71,664.0,110,1129.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,1,2,0
2015-09-30,2015,Central,71,1206.0,52,1159,2,1417.0,100,1320,23,878.0,48,1399.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,296,2,9,0
2019-07-05,2019,Central,85,24.0,188,1257,4,535.0,256,1227,71,555.0,110,1346.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,4,7,0
2008-05-29,2008,Central,85,1200.0,188,1181,4,677.0,256,1329,71,874.0,110,1278.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,3,5,0
2020-02-16,2020,Central,85,1350.0,188,1107,4,936.0,256,66,71,1041.0,110,1368.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,714,6,2,1
2012-11-02,2012,Central,33,1296.0,47,1115,1,829.0,135,1172,15,775.0,49,1419.0,0,,0,747.5991379310345,89.2,5.7,250000,28.6519,77.2315,12,8,279.0,25.0,280,4,11,0
