Date,District,Year,Month,DayOfWeek,Rape_Time,Kidnapping and Abduction_Time,Dowry Deaths_Time,Assault on women with intent to outrage her modesty_Time,Insult to modesty of Women_Time,Cruelty by Husband or his Relatives_Time,Importation of Girls_Time,Attempt to commit Rape_Time,Literacy_Rate,Unemployment_Rate,Avg_Income,Police_Stations,Hospitals,Schools,Area,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Attempt to commit Rape,SafetyScore
2014-12-26,Central,2014,12,4,5.0,23,7.0,0,11.0,20.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,41,104,2,66,21,45,0,0,4.6025213199851684
2004-03-19,Central,2004,3,4,0.0,21,7.0,1,20.0,22.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2004-02-19,Central,2004,2,3,2.0,18,14.0,19,15.0,19.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,48,49,2,114,27,48,0,0,4.5891731553578055
2010-09-02,Central,2010,9,3,2.0,19,12.0,2,19.0,21.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2006-12-08,Central,2006,12,4,23.0,20,15.0,2,9.0,22.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,63,44,1,169,13,48,0,0,4.515016685205785
2024-04-04,Central,2024,4,3,0.0,21,12.0,1,15.0,18.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2019-04-27,Central,2019,4,5,3.0,20,9.0,18,15.0,22.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,39,91,2,148,21,46,0,0,4.501668520578421
2007-12-17,Central,2007,12,0,21.0,18,15.0,2,9.0,21.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2009-02-24,Central,2009,2,1,23.0,22,21.0,0,11.0,18.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2015-09-30,Central,2015,9,2,20.0,19,23.0,22,14.0,23.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,71,52,2,100,23,48,0,0,4.577308120133481
2019-07-05,Central,2019,7,4,0.0,20,8.0,20,9.0,22.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2008-05-29,Central,2008,5,3,20.0,19,11.0,22,14.0,21.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2020-02-16,Central,2020,2,6,22.0,18,15.0,1,17.0,22.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2012-11-02,Central,2012,11,4,21.0,18,13.0,19,12.0,23.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,33,47,1,135,15,49,0,0,4.601038190582129
2007-04-19,Central,2007,4,3,0.0,22,23.0,2,10.0,21.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2009-03-21,Central,2009,3,5,23.0,18,12.0,22,18.0,22.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,50,111,2,80,13,48,0,0,4.565443084909158
2023-01-19,Central,2023,1,3,5.0,23,18.0,0,15.0,23.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,42,87,1,120,25,45,0,0,4.541713014460512
2009-03-07,Central,2009,3,5,4.0,23,13.0,22,19.0,23.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2017-01-24,Central,2017,1,1,23.0,22,13.0,23,14.0,21.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2019-03-07,Central,2019,3,3,20.0,20,19.0,2,10.0,21.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,30,53,2,161,14,48,0,0,4.559510567296996
2018-01-24,Central,2018,1,2,20.0,18,16.0,0,15.0,23.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2009-07-29,Central,2009,7,2,4.0,18,21.0,1,14.0,20.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2016-11-16,Central,2016,11,2,4.0,20,21.0,22,13.0,20.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2019-02-13,Central,2019,2,2,5.0,21,18.0,21,9.0,20.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,40,44,1,60,18,49,0,0,4.701890989988876
2016-09-17,Central,2016,9,5,4.0,18,9.0,2,15.0,18.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2014-05-11,Central,2014,5,6,21.0,23,18.0,0,10.0,18.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2007-11-28,Central,2007,11,2,21.0,20,21.0,20,15.0,19.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2012-09-27,Central,2012,9,3,21.0,23,13.0,1,11.0,19.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2005-02-10,Central,2005,2,3,0.0,20,14.0,1,18.0,22.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2023-09-30,Central,2023,9,5,1.0,21,11.0,1,15.0,20.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2011-01-10,Central,2011,1,0,21.0,23,18.0,1,18.0,19.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2005-08-30,Central,2005,8,1,23.0,22,15.0,2,19.0,21.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2007-05-23,Central,2007,5,2,21.0,20,15.0,19,11.0,23.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,35,66,1,49,23,44,0,0,4.692992213570634
2020-10-20,Central,2020,10,1,1.0,18,23.0,1,13.0,20.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2017-09-21,Central,2017,9,3,2.0,20,6.0,2,16.0,21.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,53,106,2,145,16,49,0,0,4.46607341490545
2004-06-16,Central,2004,6,2,23.0,23,10.0,22,11.0,23.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,36,76,2,149,14,50,0,0,4.531331108639229
2004-05-12,Central,2004,5,2,2.0,23,13.0,18,19.0,18.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2015-06-06,Central,2015,6,5,0.0,22,23.0,1,17.0,20.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2019-03-21,Central,2019,3,3,2.0,22,7.0,2,10.0,21.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2018-05-11,Central,2018,5,4,21.0,22,17.0,19,16.0,23.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,45,76,1,105,20,49,0,0,4.577308120133481
2006-06-15,Central,2006,6,3,22.0,19,17.0,22,10.0,23.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2023-12-07,Central,2023,12,3,1.0,20,19.0,22,14.0,19.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,36,110,2,61,15,46,0,0,4.615869484612532
2019-07-19,Central,2019,7,4,20.0,21,12.0,2,20.0,18.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,55,69,1,137,26,46,0,0,4.520949202817946
2011-07-28,Central,2011,7,3,20.0,21,19.0,20,14.0,19.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,51,46,2,47,24,48,0,0,4.692992213570634
2007-08-18,Central,2007,8,5,21.0,19,21.0,18,9.0,20.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2021-09-28,Central,2021,9,1,5.0,21,18.0,19,15.0,23.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2021-03-28,Central,2021,3,6,20.0,19,10.0,23,18.0,22.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,47,89,1,172,21,48,0,0,4.455691509084168
2022-09-05,Central,2022,9,0,22.0,23,9.0,21,21.0,22.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,68,86,2,87,18,47,0,0,4.559510567296996
2009-05-19,Central,2009,5,1,22.0,18,12.0,18,9.0,18.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,33,91,1,44,17,49,0,0,4.667779013718947
2013-04-06,Central,2013,4,5,0.0,21,17.0,20,19.0,18.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2017-12-02,Central,2017,12,5,4.0,20,17.0,19,20.0,23.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2005-11-05,Central,2005,11,5,22.0,22,8.0,1,10.0,23.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2008-04-23,Central,2008,4,2,1.0,21,16.0,23,20.0,18.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2018-09-01,Central,2018,9,5,21.0,21,8.0,19,14.0,18.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,57,61,1,147,27,47,0,0,4.512050426399703
2011-05-18,Central,2011,5,2,5.0,19,18.0,21,20.0,22.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2004-01-17,Central,2004,1,5,2.0,20,10.0,22,17.0,22.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2005-08-10,Central,2005,8,2,22.0,21,23.0,2,21.0,23.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,41,103,2,117,24,48,0,0,4.519466073414906
2004-10-24,Central,2004,10,6,2.0,21,6.0,2,10.0,20.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,85,188,4,256,71,110,0,0,3.957360029662588
2012-09-22,Central,2012,9,5,21.0,23,7.0,1,20.0,22.0,,20.0,89.2,5.7,250000,12,8,279.0,25.0,69,44,2,162,12,47,0,0,4.517982944011865
